Date,3MINDIA.NS,AARTIIND.NS,ABB.NS,ABBOTINDIA.NS,ABFRL.NS,ABREL.NS,ACC.NS,ACE.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANITRANS.NS,ADVENZYMES.NS,AFFLE.NS,AIAENG.NS,AJANTPHARM.NS,AKZOINDIA.NS,ALEMBICLTD.NS,ALKEM.NS,ALLCARGO.NS,AMBUJACEM.NS
2020-03-02,0.1287438856628377,0.14671864774920626,0.035464006130824545,0.05815047280647068,0.07434465835370958,0.14958222506008725,-0.018315116025252248,0.11328201192728825,0.03287472827335343,0.11243102904984413,0.034343625066538805,-0.1253604877364704,0.022820720290889523,-0.1379237753744836,0.16438120795297123,0.18359075707662154,0.2054154559831056,-0.16237336242657702,0.1275108600312774,0.1364762345481712,0.08020603236337791
2020-03-09,0.055638042922291686,0.031136055063103272,-0.06548721236591623,-0.010658039707828174,0.00036332496484218054,0.053190584150413035,-0.12217376490366569,-0.015601763116851177,-0.09640764269399564,0.04118407757682321,-0.10244869549041068,-0.24071321141921417,-0.07738435611580623,-0.17665848617951824,0.1877966310868708,0.046945969521747045,0.15493606476772906,-0.10543180167803465,0.022118381846330828,0.02885840379777021,-0.015453415552786518
2020-03-16,-0.032566562941287326,-0.028134659186623327,-0.07943408665504528,-0.07451498506290247,-0.11479549739888165,-0.04693730797292791,-0.11304373185030611,-0.12280619275876532,-0.10959462754320301,0.1047226392669945,-0.1702939838714558,-0.2030073265719409,-0.14290247214465968,-0.2565135708361876,0.08185710515151907,0.0067676451426173356,0.09135849002586324,-0.24120546530338452,-0.016738663858033444,-0.09626582981021145,-0.07549371795393246
2020-03-23,-0.01925719440897874,-0.03517650998430918,-0.1631954310628235,-0.10936444707520786,-0.14074753572502977,-0.14092066568184028,-0.24776140207275846,-0.20538544886033483,-0.18844930669379728,0.0526768371986972,-0.19962129199725107,-0.19551391651974276,-0.16589110733911425,-0.30531716187771274,-0.024278525346584288,-0.010088516710716906,0.07980272398007746,-0.31043176656499943,-0.022606243087012205,-0.20432690118576383,-0.1726256613951731
2020-03-30,-0.02001874680873327,-0.04510570619747036,-0.16334498093511615,-0.06365630414210152,-0.23998130125822031,-0.16117724115788093,-0.29075719503118247,-0.23437178467450054,-0.20190802874814415,0.04637430327519946,-0.2241763602698619,-0.12059431576004928,-0.10622718162859328,-0.29394983078413794,-0.06901367107436764,0.01030034737237123,-0.012428079403206806,-0.3255635464234593,-0.11034670737814611,-0.22743670806399546,-0.18569164651589296
2020-04-06,-0.005986181431873365,0.013528698669951442,-0.24420843931928315,-0.027931635906125296,-0.23728555484845362,-0.08630522702300136,-0.2529688260781028,-0.23893933137401227,-0.16574930247211764,0.028787771519918532,-0.2608980172341238,-0.1457945539574206,-0.09588903897765655,-0.24744537243071707,-0.1492810453295838,0.04030907157873721,-0.10295647673700468,-0.2527078560517088,0.0018233339456670908,-0.2422866747486868,-0.13095859715353037
2020-04-13,0.06518639933776442,0.077259782779095,-0.18704446806471456,-0.06734330946146062,-0.25663186329991594,-0.022413740852012552,-0.0960959388591942,-0.16487051021125465,-0.09773107339997364,0.004783961351978104,-0.18473904014090584,-0.0924373451630404,0.039468935957907667,-0.19296710946231746,-0.023821946997376258,0.07044025701061296,-0.01791499667784695,-0.16645340793068872,-0.017008374289227135,-0.13968151950298804,-0.02406236096917627
2020-04-20,0.007792985292094641,0.04848967145720446,-0.20765659787586313,-0.09008741979882852,-0.30130382909642933,-0.10178487710816121,-0.0739331791477932,-0.17887167079116478,-0.09269121892349376,-0.07057762465590586,-0.19998455664873765,-0.08323144350310496,-0.007060135348128723,-0.17171190905485362,-0.015948572668530784,0.11539740473483846,-0.05753995210295489,-0.10450658754760832,-0.012448240221420956,-0.13121723822501577,-0.036441249552256146
2020-04-27,-0.08454354770784332,0.07910547403430399,-0.23185405428640485,-0.01547262984689635,-0.3142394542972947,-0.10032010751181798,-0.11166187726846315,-0.17420837901364966,-0.18655131466108418,-0.0859744525597868,-0.1767089777152915,-0.10900809129046866,-0.03402783647186069,-0.17374180931232264,-0.023677588027847512,0.0828761769369641,-0.10008541161731568,-0.12558572988396263,-0.04437862184825137,-0.1273894385888077,-0.08334894721884031
2020-05-04,-0.12579184277803745,-0.0011563369762563533,-0.22935086057008822,-0.10915191068002161,-0.32407778453716496,-0.14364324609123216,-0.10278601496141883,-0.19618035369946588,-0.20218840527095988,-0.07048689043218129,-0.1274567017939854,-0.18226555095019062,-0.09975201528974464,-0.1919376087855423,0.002310556281331955,0.08816580259776667,-0.1529975194267104,-0.15865166287967866,-0.04793677242790723,-0.1290327331895966,-0.052863514121847685
